max,mean,min,std,sum,depto,year
{'LST_1KM': 312.6917006802721},{'LST_1KM': 303.5436417883991},{'LST_1KM': 291.56652631578953},{'LST_1KM': 2.934164759169289},{'LST_1KM': 1585666.7507481342},HN16,2018
{'LST_1KM': 316.31296},{'LST_1KM': 305.41368600285483},{'LST_1KM': 292.0525531914893},{'LST_1KM': 3.325408468396736},{'LST_1KM': 1595435.5830511956},HN16,2019
{'LST_1KM': 317.87766666666664},{'LST_1KM': 305.20507348831853},{'LST_1KM': 293.03098901098895},{'LST_1KM': 2.9429544172859177},{'LST_1KM': 1594345.8223626132},HN16,2020
{'LST_1KM': 313.12689655172414},{'LST_1KM': 304.5426722601688},{'LST_1KM': 291.34565656565655},{'LST_1KM': 3.059236538979209},{'LST_1KM': 1590885.5370575301},HN16,2021
{'LST_1KM': 312.2667826086958},{'LST_1KM': 303.6154946097806},{'LST_1KM': 290.1247222222221},{'LST_1KM': 3.151043613275017},{'LST_1KM': 1586042.0991795522},HN16,2022
{'LST_1KM': 312.37384615384616},{'LST_1KM': 304.1388637438104},{'LST_1KM': 290.4527102803738},{'LST_1KM': 2.995656030968954},{'LST_1KM': 1588776.1015434607},HN16,2023
{'LST_1KM': 310.9734939759036},{'LST_1KM': 303.906198030225},{'LST_1KM': 291.8670796460177},{'LST_1KM': 2.614484322716506},{'LST_1KM': 1587560.690527444},HN16,2024
{'LST_1KM': 307.06500000000005},{'LST_1KM': 300.4472994763862},{'LST_1KM': 288.56875},{'LST_1KM': 2.3032443616763523},{'LST_1KM': 1569491.9199258962},HN16,2025
{'LST_1KM': 307.17044444444446},{'LST_1KM': 303.61337144865826},{'LST_1KM': 300.36},{'LST_1KM': 1.2127012685681482},{'LST_1KM': 71758.72268172228},HN11,2000
{'LST_1KM': 307.0526153846154},{'LST_1KM': 302.82685325023067},{'LST_1KM': 295.65333333333336},{'LST_1KM': 1.0930907928340112},{'LST_1KM': 71610.83167781238},HN11,2001
{'LST_1KM': 306.1816},{'LST_1KM': 303.0384341266688},{'LST_1KM': 297.90000000000003},{'LST_1KM': 1.161700105897731},{'LST_1KM': 71823.67404606906},HN11,2002
{'LST_1KM': 307.41612903225797},{'LST_1KM': 304.33365941140715},{'LST_1KM': 299.32},{'LST_1KM': 1.1586650806390566},{'LST_1KM': 72072.17787527633},HN11,2003
{'LST_1KM': 347.396},{'LST_1KM': 303.0962224950104},{'LST_1KM': 299.0357142857143},{'LST_1KM': 3.0410902265318},{'LST_1KM': 71839.74779450365},HN11,2004
{'LST_1KM': 309.08578947368414},{'LST_1KM': 303.1538637245506},{'LST_1KM': 297.88},{'LST_1KM': 1.1287664353866569},{'LST_1KM': 71477.73687284267},HN11,2005
